datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,9879.75,ssb,1
iceberg,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2729.04,ssb,1
iceberg,spark,db10,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6720.31,ssb,1
iceberg,spark,db14,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3047.99,ssb,1
iceberg,spark,db16,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5378.0,ssb,1
iceberg,spark,db19,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4175.99,ssb,1
iceberg,spark,db2,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4887.33,ssb,1
iceberg,spark,db21,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2235.65,ssb,1
iceberg,spark,db5,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6021.51,ssb,1
iceberg,spark,db6,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,1528.95,ssb,1
iceberg,spark,db7,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,1892.76,ssb,1
iceberg,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3483.98,ssb,1
iceberg,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2177.24,ssb,1
iceberg,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7013.01,ssb,1
iceberg,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7228.06,ssb,1
iceberg,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4343.04,ssb,1
iceberg,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11083.61,ssb,1
iceberg,spark,db1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1518.94,ssb,1
iceberg,spark,db10,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3048.22,ssb,1
iceberg,spark,db14,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2987.31,ssb,1
iceberg,spark,db16,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2860.74,ssb,1
iceberg,spark,db17,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1983.67,ssb,1
