datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,tpch_1_q19,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,22660.56,tpch,10
delta,spark,tpch_1_q2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,12891.62,tpch,10
delta,spark,tpch_1_q20,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6735.17,tpch,10
delta,spark,tpch_1_q3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6150.44,tpch,10
delta,spark,tpch_1_q4,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6288.68,tpch,10
delta,spark,tpch_1_q5,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,8658.15,tpch,10
delta,spark,tpch_1_q7,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,9881.82,tpch,10
delta,spark,tpch_1_q8,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2671.79,tpch,10
delta,spark,tpch_1_q9,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6400.72,tpch,10
delta,spark,tpch_2_q1,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6288.24,tpch,10
