datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpch_0_q22,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,1322.0,tpch,10
iceberg,spark,tpch_0_q22,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,1469.0,tpch,10
iceberg,spark,tpch_0_q22,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,1366.0,tpch,10
iceberg,spark,tpch_0_q22,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,1335.0,tpch,10
iceberg,spark,tpch_0_q22,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,1386.0,tpch,10
iceberg,spark,tpch_0_q22,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,1397.0,tpch,10
iceberg,spark,tpch_0_q22,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,1383.0,tpch,10
iceberg,spark,tpch_0_q22,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,1377.0,tpch,10
iceberg,spark,tpch_0_q3,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,7667.0,tpch,10
iceberg,spark,tpch_0_q3,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,8798.0,tpch,10
iceberg,spark,tpch_0_q3,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,8372.0,tpch,10
iceberg,spark,tpch_0_q3,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,7805.0,tpch,10
iceberg,spark,tpch_0_q3,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,8079.0,tpch,10
iceberg,spark,tpch_0_q3,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,7589.0,tpch,10
iceberg,spark,tpch_0_q3,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,8253.0,tpch,10
iceberg,spark,tpch_0_q3,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,9243.0,tpch,10
iceberg,spark,tpch_0_q3,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,8253.0,tpch,10
iceberg,spark,tpch_0_q3,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,8509.0,tpch,10
iceberg,spark,tpch_0_q4,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,4488.0,tpch,10
iceberg,spark,tpch_0_q4,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,4612.0,tpch,10
iceberg,spark,tpch_0_q4,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,4466.0,tpch,10
iceberg,spark,tpch_0_q4,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,4298.0,tpch,10
iceberg,spark,tpch_0_q4,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,4673.0,tpch,10
iceberg,spark,tpch_0_q4,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,4346.0,tpch,10
iceberg,spark,tpch_0_q4,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,4438.0,tpch,10
iceberg,spark,tpch_0_q4,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,4459.0,tpch,10
iceberg,spark,tpch_0_q4,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,4447.0,tpch,10
iceberg,spark,tpch_0_q4,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,4610.0,tpch,10
iceberg,spark,tpch_0_q5,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,10809.0,tpch,10
iceberg,spark,tpch_0_q5,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,10858.0,tpch,10
iceberg,spark,tpch_0_q5,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,11909.0,tpch,10
iceberg,spark,tpch_0_q5,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,10711.0,tpch,10
iceberg,spark,tpch_0_q5,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,11710.0,tpch,10
iceberg,spark,tpch_0_q5,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,10469.0,tpch,10
iceberg,spark,tpch_0_q5,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,10721.0,tpch,10
iceberg,spark,tpch_0_q5,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,11693.0,tpch,10
iceberg,spark,tpch_0_q5,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,11006.0,tpch,10
iceberg,spark,tpch_0_q5,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,10955.0,tpch,10
iceberg,spark,tpch_0_q6,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,2851.0,tpch,10
iceberg,spark,tpch_0_q6,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,2915.0,tpch,10
iceberg,spark,tpch_0_q6,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,2849.0,tpch,10
iceberg,spark,tpch_0_q6,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,2836.0,tpch,10
iceberg,spark,tpch_0_q6,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,2822.0,tpch,10
iceberg,spark,tpch_0_q6,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,3121.0,tpch,10
iceberg,spark,tpch_0_q6,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,2901.0,tpch,10
iceberg,spark,tpch_0_q6,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,3299.0,tpch,10
iceberg,spark,tpch_0_q6,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,4699.0,tpch,10
iceberg,spark,tpch_0_q6,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,3027.0,tpch,10
iceberg,spark,tpch_0_q7,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,18767.0,tpch,10
iceberg,spark,tpch_0_q7,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,19393.0,tpch,10
iceberg,spark,tpch_0_q7,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,16828.0,tpch,10
iceberg,spark,tpch_0_q7,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,14912.0,tpch,10
iceberg,spark,tpch_0_q7,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,18174.0,tpch,10
iceberg,spark,tpch_0_q7,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,14215.0,tpch,10
iceberg,spark,tpch_0_q7,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,18754.0,tpch,10
iceberg,spark,tpch_0_q7,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,23410.0,tpch,10
iceberg,spark,tpch_0_q7,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,15940.0,tpch,10
iceberg,spark,tpch_0_q7,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,15112.0,tpch,10
iceberg,spark,tpch_0_q8,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,10708.0,tpch,10
iceberg,spark,tpch_0_q8,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,10844.0,tpch,10
iceberg,spark,tpch_0_q8,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,10777.0,tpch,10
iceberg,spark,tpch_0_q8,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,10551.0,tpch,10
iceberg,spark,tpch_0_q8,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,11271.0,tpch,10
iceberg,spark,tpch_0_q8,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,10486.0,tpch,10
iceberg,spark,tpch_0_q8,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,10852.0,tpch,10
iceberg,spark,tpch_0_q8,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,11569.0,tpch,10
iceberg,spark,tpch_0_q8,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,10996.0,tpch,10
iceberg,spark,tpch_0_q8,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,11009.0,tpch,10
iceberg,spark,tpch_0_q9,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,13843.0,tpch,10
iceberg,spark,tpch_0_q9,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,13623.0,tpch,10
iceberg,spark,tpch_0_q9,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,14012.0,tpch,10
iceberg,spark,tpch_0_q9,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,13803.0,tpch,10
iceberg,spark,tpch_0_q9,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,13989.0,tpch,10
iceberg,spark,tpch_0_q9,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,13777.0,tpch,10
iceberg,spark,tpch_0_q9,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,14057.0,tpch,10
iceberg,spark,tpch_0_q9,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,14638.0,tpch,10
