datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db11,16;200;20;18;18;32;32,1785.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,6229.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,3143.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,4029.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3627.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1283.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3431.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,3006.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,3857.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,1949.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,3498.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,6721.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,719.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3389.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2295.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,4617.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,3882.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,5228.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,5725.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,6409.0,tpch,1
delta,presto,db1,20;198;136;9;36;512;1784,7002.0,tpch,1
delta,presto,db10,20;198;136;9;36;512;1784,8190.0,tpch,1
delta,presto,db11,20;198;136;9;36;512;1784,3740.0,tpch,1
delta,presto,db12,20;198;136;9;36;512;1784,5336.0,tpch,1
delta,presto,db13,20;198;136;9;36;512;1784,3994.0,tpch,1
delta,presto,db14,20;198;136;9;36;512;1784,3576.0,tpch,1
delta,presto,db15,20;198;136;9;36;512;1784,4264.0,tpch,1
delta,presto,db16,20;198;136;9;36;512;1784,2230.0,tpch,1
delta,presto,db17,20;198;136;9;36;512;1784,3989.0,tpch,1
delta,presto,db18,20;198;136;9;36;512;1784,4842.0,tpch,1
delta,presto,db19,20;198;136;9;36;512;1784,4730.0,tpch,1
delta,presto,db2,20;198;136;9;36;512;1784,4265.0,tpch,1
delta,presto,db20,20;198;136;9;36;512;1784,4501.0,tpch,1
delta,presto,db21,20;198;136;9;36;512;1784,9002.0,tpch,1
delta,presto,db22,20;198;136;9;36;512;1784,2382.0,tpch,1
delta,presto,db3,20;198;136;9;36;512;1784,5332.0,tpch,1
delta,presto,db4,20;198;136;9;36;512;1784,3637.0,tpch,1
delta,presto,db5,20;198;136;9;36;512;1784,5681.0,tpch,1
delta,presto,db6,20;198;136;9;36;512;1784,3155.0,tpch,1
delta,presto,db7,20;198;136;9;36;512;1784,8482.0,tpch,1
delta,presto,db8,20;198;136;9;36;512;1784,9467.0,tpch,1
delta,presto,db9,20;198;136;9;36;512;1784,8653.0,tpch,1
delta,presto,db1,26;207;16;6;6;2048;390,10980.0,tpch,1
delta,presto,db10,26;207;16;6;6;2048;390,17041.0,tpch,1
delta,presto,db11,26;207;16;6;6;2048;390,18393.0,tpch,1
delta,presto,db12,26;207;16;6;6;2048;390,7200.0,tpch,1
delta,presto,db13,26;207;16;6;6;2048;390,10520.0,tpch,1
delta,presto,db14,26;207;16;6;6;2048;390,8240.0,tpch,1
delta,presto,db15,26;207;16;6;6;2048;390,14090.0,tpch,1
delta,presto,db16,26;207;16;6;6;2048;390,7123.0,tpch,1
delta,presto,db17,26;207;16;6;6;2048;390,8300.0,tpch,1
delta,presto,db18,26;207;16;6;6;2048;390,9219.0,tpch,1
delta,presto,db19,26;207;16;6;6;2048;390,9233.0,tpch,1
