datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,query39,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,976.7,tpcds,1
hudi,trino,query39_a,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,895.75,tpcds,1
hudi,trino,query39_b,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,884.73,tpcds,1
hudi,trino,query4,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,941.7,tpcds,1
hudi,trino,query40,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,967.12,tpcds,1
hudi,trino,query41,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,848.92,tpcds,1
hudi,trino,query42,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,924.5,tpcds,1
hudi,trino,query43,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,960.94,tpcds,1
hudi,trino,query44,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,919.61,tpcds,1
hudi,trino,query45,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,887.93,tpcds,1
hudi,trino,query46,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,999.04,tpcds,1
hudi,trino,query47,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,875.6,tpcds,1
hudi,trino,query48,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,889.74,tpcds,1
hudi,trino,query49,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,844.34,tpcds,1
hudi,trino,query5,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,866.13,tpcds,1
hudi,trino,query50,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,997.79,tpcds,1
hudi,trino,query51,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,963.64,tpcds,1
hudi,trino,query52,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,936.84,tpcds,1
hudi,trino,query53,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1032.73,tpcds,1
hudi,trino,query54,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1003.55,tpcds,1
hudi,trino,query55,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,971.05,tpcds,1
hudi,trino,query56,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,988.97,tpcds,1
hudi,trino,query57,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,950.18,tpcds,1
hudi,trino,query58,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1075.2,tpcds,1
hudi,trino,query59,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1111.3,tpcds,1
hudi,trino,query6,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1057.52,tpcds,1
hudi,trino,query60,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1135.48,tpcds,1
hudi,trino,query61,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1055.26,tpcds,1
hudi,trino,query62,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1035.57,tpcds,1
hudi,trino,query63,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,985.58,tpcds,1
hudi,trino,query64,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,956.91,tpcds,1
hudi,trino,query65,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1104.21,tpcds,1
hudi,trino,query66,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1051.96,tpcds,1
hudi,trino,query67,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1139.81,tpcds,1
hudi,trino,query68,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2217.38,tpcds,1
hudi,trino,query69,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2088.5,tpcds,1
hudi,trino,query7,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1939.73,tpcds,1
hudi,trino,query70,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1931.12,tpcds,1
hudi,trino,query71,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1909.23,tpcds,1
hudi,trino,query72,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1996.79,tpcds,1
hudi,trino,query73,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2176.16,tpcds,1
hudi,trino,query74,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2058.31,tpcds,1
hudi,trino,query75,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2175.59,tpcds,1
hudi,trino,query76,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2281.56,tpcds,1
hudi,trino,query77,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1977.15,tpcds,1
hudi,trino,query78,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2072.39,tpcds,1
hudi,trino,query79,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2021.6,tpcds,1
hudi,trino,query8,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1875.84,tpcds,1
hudi,trino,query80,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2016.75,tpcds,1
hudi,trino,query81,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2165.34,tpcds,1
hudi,trino,query82,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2240.65,tpcds,1
hudi,trino,query83,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2192.09,tpcds,1
hudi,trino,query84,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5951.58,tpcds,1
hudi,trino,query85,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,6001.81,tpcds,1
hudi,trino,query86,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5661.37,tpcds,1
hudi,trino,query87,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5124.78,tpcds,1
hudi,trino,query88,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5761.41,tpcds,1
hudi,trino,query89,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,5808.55,tpcds,1
