datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,ssb_q14,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,15586.84,ssb,10
delta,spark,ssb_q17,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,1846.27,ssb,10
delta,spark,ssb_q19,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,15943.4,ssb,10
delta,spark,ssb_q22,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,12078.74,ssb,10
delta,spark,ssb_q23,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,6368.83,ssb,10
delta,spark,ssb_q25,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,15807.72,ssb,10
delta,spark,ssb_q27,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,12838.06,ssb,10
delta,spark,ssb_q29,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,11870.4,ssb,10
delta,spark,ssb_q36,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2283.69,ssb,10
delta,spark,ssb_q37,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2024.62,ssb,10
delta,spark,ssb_q38,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2417.23,ssb,10
delta,spark,ssb_q42,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,14370.23,ssb,10
delta,spark,ssb_q45,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,5606.57,ssb,10
delta,spark,ssb_q46,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,15606.37,ssb,10
