datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,syn_q9,145.4;160.3;185.2;118.1|288.1;184.0;294.6;211.9;206.6,20086.55,ssb,100
delta,spark,syn_q9,73.1;130.7;178.0;70.4;171.8|29.6;15.1;274.5;140.2;158.2;225.1,42243.85,ssb,100
delta,spark,syn_q9,121.6;197.8;54.2;127.1;180.4;68.7;150.2;153.9|27.4;118.6;96.0,33733.89,ssb,100
delta,spark,syn_q9,81.4;132.0;55.2;147.8;197.8|224.4;105.3;90.7;196.6;230.5;161.1,22410.27,ssb,100
delta,spark,syn_q9,133.1;64.8;14.5;170.9;72.9;56.0;112.5|242.4;211.9;74.5;263.1,22375.89,ssb,100
delta,spark,syn_q9,71.1;94.0;11.1;175.3;23.3;46.6;130.5;36.9|46.4;60.4;169.2;240.6,29837.68,ssb,100
delta,spark,syn_q9,54.9;24.9;147.7;69.2;147.1|133.0;185.7;97.9;177.2,54446.25,ssb,100
delta,spark,syn_q9,61.7;158.4;25.2;194.8;85.7|146.5;132.6;186.7;135.7,30527.57,ssb,100
delta,spark,syn_q9,165.7;160.8;13.8;82.5;172.3|182.6;54.3;220.7;84.6;144.5,21021.90,ssb,100
delta,spark,syn_q9,63.8;116.8;101.4;73.3;145.8;47.2;184.1|13.7;155.2;220.4,30654.66,ssb,100
delta,spark,syn_q10,42.9;140.5;178.6;63.4;84.6;120.9|58.0;69.7;219.4;135.7;139.4,26723.80,ssb,100
delta,spark,syn_q10,151.9;165.0;128.4;125.4;91.6;117.8;81.1;130.2|140.3;267.9;287.8,32655.43,ssb,100
delta,spark,syn_q10,121.5;65.8;167.1;132.6;193.4;76.9|43.2;244.6;134.5,56134.34,ssb,100
delta,spark,syn_q10,78.0;23.8;134.8;80.7;158.1|12.8;209.6;217.9,27341.82,ssb,100
delta,spark,syn_q10,98.4;161.1;180.8;116.7;83.3|162.9;39.8;90.6;186.3,56840.10,ssb,100
delta,spark,syn_q10,119.1;132.8;139.6;92.7|67.5;24.4;153.2;23.6;89.6,40806.16,ssb,100
delta,spark,syn_q10,33.6;42.5;72.1;82.7|92.7;196.7;258.3,27876.04,ssb,100
