datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,job_13d,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3837.0,job,10
hudi,spark,job_13d,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,3083.0,job,10
hudi,spark,job_13d,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3077.0,job,10
hudi,spark,job_13d,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2904.0,job,10
hudi,spark,job_13d,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3033.0,job,10
hudi,spark,job_13d,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,3112.0,job,10
hudi,spark,job_13d,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,2952.0,job,10
hudi,spark,job_14a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3965.0,job,10
hudi,spark,job_14a,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4627.0,job,10
hudi,spark,job_14a,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,7155.0,job,10
hudi,spark,job_14a,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,4790.0,job,10
hudi,spark,job_14a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,4274.0,job,10
hudi,spark,job_14a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,6297.0,job,10
hudi,spark,job_14a,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,6767.0,job,10
hudi,spark,job_14a,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,5072.0,job,10
hudi,spark,job_14a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,6647.0,job,10
hudi,spark,job_14a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,5049.0,job,10
hudi,spark,job_14a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,6515.0,job,10
hudi,spark,job_14a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4687.0,job,10
hudi,spark,job_14a,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,6964.0,job,10
hudi,spark,job_14a,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,5047.0,job,10
hudi,spark,job_14b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,4196.0,job,10
hudi,spark,job_14b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,4320.0,job,10
hudi,spark,job_14b,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,5870.0,job,10
hudi,spark,job_14b,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3898.0,job,10
hudi,spark,job_14b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3983.0,job,10
hudi,spark,job_14b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5960.0,job,10
hudi,spark,job_14b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,6108.0,job,10
hudi,spark,job_14b,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,4511.0,job,10
hudi,spark,job_14b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,6041.0,job,10
hudi,spark,job_14b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4161.0,job,10
