datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,q1_2,16;200;20;18;18;32;32,1517.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,174.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,2035.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,1177.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,452.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2203.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,766.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,603.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,741.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,718.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,548.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,454.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,784.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,739.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,626.0,ssb-flat,1
delta,presto,q1_1,20;198;136;9;36;512;1784,1571.0,ssb-flat,1
delta,presto,q1_2,20;198;136;9;36;512;1784,636.0,ssb-flat,1
delta,presto,q1_3,20;198;136;9;36;512;1784,484.0,ssb-flat,1
delta,presto,q2_1,20;198;136;9;36;512;1784,2263.0,ssb-flat,1
delta,presto,q2_2,20;198;136;9;36;512;1784,2101.0,ssb-flat,1
delta,presto,q2_3,20;198;136;9;36;512;1784,867.0,ssb-flat,1
delta,presto,q3_1,20;198;136;9;36;512;1784,1054.0,ssb-flat,1
