datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,ssb_flat_q_26,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4457.85,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,1997.13,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4497.07,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3403.85,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,1958.42,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,15237.41,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,6415.2,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4415.51,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3498.7,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,6360.23,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,18381.99,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3122.91,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,9500.27,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2146.69,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3064.48,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4059.9,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,11635.34,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,13115.81,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=6g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4044.37,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,16135.28,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,10054.38,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2400.13,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,15613.05,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,8639.72,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,1835.66,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2361.55,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,8119.62,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2993.85,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5048.2,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5179.93,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2091.92,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,2310.72,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,9093.32,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,3454.54,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=128m,5315.86,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2799.98,ssb-flat,10
delta,spark,ssb_flat_q_02,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5694.62,ssb-flat,10
delta,spark,ssb_flat_q_03,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5841.12,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5171.06,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,12964.76,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5779.47,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3735.05,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,9194.17,ssb-flat,10
