datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,ssb_flat_q_09,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,635.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6769.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,8769.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,7212.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,7745.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,8340.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,8009.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,7679.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,10804.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,7342.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,8192.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,7441.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,8368.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,9392.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,7996.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,8160.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,9772.0,ssb-flat,10
hudi,trino,ssb_flat_q_10,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,8417.0,ssb-flat,10
