datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,ssb_flat_q_25,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,3103.31,ssb-flat,10
hudi,spark,ssb_flat_q_26,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,4248.42,ssb-flat,10
hudi,spark,ssb_flat_q_27,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,2955.86,ssb-flat,10
hudi,spark,ssb_flat_queries,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=6g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,6358.56,ssb-flat,10
hudi,spark,ssb_flat_q_01,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4980.53,ssb-flat,10
hudi,spark,ssb_flat_q_02,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4887.09,ssb-flat,10
hudi,spark,ssb_flat_q_03,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3222.46,ssb-flat,10
hudi,spark,ssb_flat_q_04,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3889.42,ssb-flat,10
hudi,spark,ssb_flat_q_06,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1876.21,ssb-flat,10
hudi,spark,ssb_flat_q_07,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2338.03,ssb-flat,10
hudi,spark,ssb_flat_q_08,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,4675.7,ssb-flat,10
